,firstName,middleName,lastName,serviceAddress
0,ALEXANDER,J.,POURBAIX,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,ROGER,J.,URWIN,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,ROBERT,S.J.,HANF,"{'line1': '4TH FLOOR, WEST BUILDING', 'line2': '5302 FORAND ST. SW', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,HECTOR,A.,RANGEL,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,LAURA,A.,REED,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,MATTHIAS,F.,BICHSEL,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,LINDA,A.,SOUTHERN-HEATHCOTT,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,LORAINE,M.,CHARLTON,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,NANCY,C.,SOUTHERN,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,ROBERT,J.,NORMAND,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,WAYNE,G.,WOUTERS,"{'line1': '4th Floor, West Building', 'line2': '5302 Forand St. SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T3E 8B4', 'countryCode': 'CA', 'countryName': 'Canada'}"
